,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
356,Nyagan,62.1406,65.3936,31.48,99,100,6.11,RU,1649127600
357,Nador,35.174,-2.9287,56.21,88,75,24.96,MA,1649127600
358,Urdoma,61.7533,48.5442,9.82,97,100,3.0,RU,1649127600
359,Pangnirtung,66.1451,-65.7125,4.01,97,100,1.52,CA,1649127600
360,Seoul,37.5683,126.9778,57.13,28,0,8.21,KR,1649127600
361,Colomi,-17.35,-65.8667,53.58,88,64,4.54,BO,1649127600
362,São Miguel do Araguaia,-13.275,-50.1628,73.83,77,24,1.3,BR,1649127600
363,Mount Gambier,-37.8333,140.7667,62.73,67,40,4.43,AU,1649127600
364,Kyabé,9.4515,18.9449,81.43,55,73,3.89,TD,1649127600
365,Gamba,-2.65,10.0,76.64,91,100,5.26,GA,1649127600
366,Narón,43.5167,-8.1528,42.84,73,0,8.05,ES,1649127600
367,Beloha,-25.1667,45.05,70.39,86,14,5.44,MG,1649127600
368,Adamovka,51.5223,59.9396,38.05,92,100,13.58,RU,1649127600
369,Deputatsky,69.3,139.9,-0.44,89,98,3.96,RU,1649127600
370,Denpasar,-8.65,115.2167,85.71,79,20,5.35,ID,1649127600
371,Tahoua,14.8888,5.2692,81.57,7,100,3.96,NE,1649127600
372,Atar,20.5169,-13.0499,68.27,48,0,3.85,MR,1649127600
373,Kuril'sk,45.2333,147.8833,43.12,66,1,3.51,RU,1649127600
374,Klang,3.0333,101.45,85.08,83,20,1.97,MY,1649127600
375,Upata,8.0086,-62.3989,73.33,85,67,7.45,VE,1649127600
376,Losal,27.4,74.9167,88.18,6,3,4.5,IN,1649127600
377,Washington,47.5001,-120.5015,35.98,80,4,21.32,US,1649127600
378,Waverly,42.7392,-84.6208,40.77,93,31,7.38,US,1649127600
379,Sur,22.5667,59.5289,82.45,40,0,10.09,OM,1649127600
380,Taltal,-25.4,-70.4833,65.64,69,0,3.74,CL,1649127600
381,Gambiran,-6.7988,111.4951,83.73,71,32,3.69,ID,1649127600
382,Alugan,12.2188,125.4808,82.36,82,80,14.52,PH,1649127600
383,Salinópolis,-0.6136,-47.3561,77.68,87,100,6.4,BR,1649127600
384,Inhambane,-23.865,35.3833,73.22,70,22,8.01,MZ,1649127600
385,Galle,6.0367,80.217,78.4,80,100,1.79,LK,1649127600
386,Oruzgan,32.8333,66.0,63.18,18,0,4.94,AF,1649127600
387,Puerto Quijarro,-17.7833,-57.7667,80.47,55,94,1.1,BO,1649127600
388,Doka,13.5167,35.7667,84.94,21,17,3.85,SD,1649127600
389,Mareeba,-17.0,145.4333,89.44,57,66,3.6,AU,1649127600
390,Marystown,47.1666,-55.1483,38.86,100,100,15.61,CA,1649127600
391,Chichihualco,17.6833,-99.65,68.41,51,16,6.67,MX,1649127600
392,Constitución,-35.3333,-72.4167,55.53,62,0,8.08,CL,1649127600
393,Kulhudhuffushi,6.6221,73.07,83.08,67,11,1.81,MV,1649127600
394,Azul,-36.777,-59.8585,50.2,46,0,6.69,AR,1649127600
395,Vila do Maio,15.1333,-23.2167,71.6,73,59,11.83,CV,1649127600
396,North Bend,43.4065,-124.2243,47.68,90,100,14.85,US,1649127600
397,Garoowe,8.4054,48.4845,68.9,87,47,6.49,SO,1649127600
398,Churapcha,62.0025,132.4325,21.54,85,100,11.5,RU,1649127600
399,Saint-Philippe,-21.3585,55.7679,78.44,88,71,11.1,RE,1649127600
400,Manicoré,-5.8092,-61.3003,73.65,97,100,2.57,BR,1649127600
401,Tynda,55.1667,124.7167,21.02,57,100,14.76,RU,1649127600
402,Klamath Falls,42.2249,-121.7817,38.97,84,100,18.54,US,1649127600
403,Kurumkan,54.3,110.3,17.67,73,26,1.61,RU,1649127600
404,Dwārka,22.2394,68.9678,80.1,65,17,8.61,IN,1649127600
405,Laguna,38.421,-121.4238,66.38,65,0,10.42,US,1649127600
406,Tuatapere,-46.1333,167.6833,65.95,71,100,4.12,NZ,1649127600
407,Tacna,-18.0056,-70.2483,61.48,86,38,1.74,PE,1649127600
408,Prince Rupert,54.3161,-130.3201,39.29,87,100,0.98,CA,1649127600
409,Rechka Vydrino,51.485,104.8461,25.57,83,96,5.99,RU,1649127600
410,Meulaboh,4.1363,96.1285,81.72,73,99,2.15,ID,1649127600
411,Blacksburg,37.2296,-80.4139,53.74,53,100,2.66,US,1649127600
412,Maniitsoq,65.4167,-52.9,24.04,84,61,3.6,GL,1649127600
413,Lüderitz,-26.6481,15.1594,58.08,80,0,6.55,NA,1649127600
414,Babayurt,43.6002,46.7789,43.48,79,99,8.41,RU,1649127600
415,Ixtapa,20.7,-105.2,70.83,68,0,1.21,MX,1649127600
416,Mukhen,48.1,136.1,57.45,49,96,16.37,RU,1649127600
417,Ginda,30.6945,78.4932,72.99,10,56,2.26,IN,1649127600
418,Amuntai,-2.4177,115.2494,88.81,57,96,2.68,ID,1649127600
419,Buraidah,26.326,43.975,72.05,15,70,9.19,SA,1649127600
420,Draguignan,43.5333,6.4667,39.15,86,0,3.36,FR,1649127600
421,Tongzi,28.7829,105.0877,63.27,69,100,2.59,CN,1649127600
422,Tegul'det,57.3064,88.1667,37.33,96,100,7.67,RU,1649127600
423,Manado,1.487,124.8455,90.37,58,20,8.25,ID,1649127600
424,Santarém,-2.4431,-54.7083,75.33,100,40,1.39,BR,1649127600
425,Newport,51.5877,-2.9984,51.73,84,99,9.71,GB,1649127600
426,Dingli,35.8614,14.3822,55.56,88,75,23.94,MT,1649127600
427,Codrington,-38.2667,141.9667,63.09,57,100,8.05,AU,1649127600
428,Salinas,36.6777,-121.6555,58.05,74,0,2.37,US,1649127600
429,Kapit,2.0167,112.9333,76.91,93,100,1.68,MY,1649127600
430,Naze,28.3667,129.4833,65.32,49,6,5.26,JP,1649127600
431,Tilichiki,60.4667,166.1,19.85,80,40,5.28,RU,1649127600
432,Udachny,66.4167,112.4,7.74,77,100,6.78,RU,1649127600
433,Ivanava,52.1451,25.5365,31.98,97,100,20.47,BY,1649127600
434,Anadyr,64.75,177.4833,1.08,70,20,11.88,RU,1649127600
435,Vostok,46.4856,135.8833,54.57,53,62,11.54,RU,1649127600
436,Pacifica,37.6138,-122.4869,55.38,87,75,11.59,US,1649127600
437,Raudeberg,61.9875,5.1352,34.99,94,100,19.37,NO,1649127600
438,Batagay-Alyta,67.8006,130.4114,4.28,81,81,2.51,RU,1649127600
439,Cockburn Town,21.4612,-71.1419,77.9,81,0,16.08,TC,1649127600
440,Fortuna,40.5982,-124.1573,52.07,91,100,5.14,US,1649127600
441,Ust'-Ishim,57.6935,71.1665,38.12,93,100,8.23,RU,1649127600
442,Westport,41.1415,-73.3579,47.07,54,40,6.22,US,1649127600
443,Mandurah,-32.55,115.7,70.92,41,0,6.69,AU,1649127600
444,West Odessa,31.8424,-102.4988,71.08,24,0,9.06,US,1649127600
445,Vaitape,-16.5167,-151.75,83.21,74,9,17.38,PF,1649127600
446,Escada,-8.3592,-35.2236,81.34,90,37,3.38,BR,1649127600
447,Sapa,5.1544,120.3241,84.58,66,99,6.96,PH,1649127600
448,Northam,51.0333,-4.2167,49.19,95,100,13.82,GB,1649127600
449,Tayzhina,53.6679,87.4362,41.95,83,88,2.59,RU,1649127600
450,Shizunai-furukawachō,42.3339,142.3669,45.36,77,2,4.36,JP,1649127600
451,Sicamous,50.8331,-118.9856,50.97,92,100,3.06,CA,1649127600
452,Husavik,66.0449,-17.3389,23.23,89,100,8.68,IS,1649127600
453,Konotop,51.2403,33.2026,31.82,69,12,11.36,UA,1649127600
454,Talaya,61.3833,152.75,7.74,88,100,5.26,RU,1649127600
455,Pozo Colorado,-23.4923,-58.7972,72.77,98,64,5.88,PY,1649127600
456,Aklavik,68.2191,-135.0107,-10.05,90,100,5.57,CA,1649127600
457,Envira,-7.3,-70.2167,75.9,75,92,0.83,BR,1649127600
458,Kashgar,39.4547,75.9797,63.43,25,0,2.04,CN,1649127600
459,Cascais,38.6979,-9.4215,54.72,47,100,18.3,PT,1649127600
460,North Platte,41.1239,-100.7654,57.33,30,100,24.16,US,1649127600
461,Virginia Beach,36.8529,-75.978,48.78,73,81,12.35,US,1649127600
462,Yar-Sale,66.8333,70.8333,22.26,97,88,6.31,RU,1649127600
463,Duluth,46.7833,-92.1066,32.02,95,100,3.74,US,1649127600
464,Mokrous,51.2333,47.5167,31.12,86,22,10.71,RU,1649127600
465,Sisimiut,66.9395,-53.6735,24.04,95,80,2.82,GL,1649127600
466,Santiago del Estero,-27.7951,-64.2615,63.1,75,29,3.09,AR,1649127600
467,Broome,42.2506,-75.833,36.01,69,75,2.1,US,1649127600
468,Shediac,46.2198,-64.5411,32.0,74,0,13.89,CA,1649127600
469,Kalakamati,-20.5929,27.3121,63.25,85,54,6.38,BW,1649127600
470,Baghdad,33.3406,44.4009,69.1,31,5,10.51,IQ,1649127600
471,Kelowna,49.8831,-119.4857,48.99,31,20,8.72,CA,1649127600
472,Ust-Nera,64.5667,143.2,11.25,86,94,6.53,RU,1649127600
473,Vieux-Habitants,16.0589,-61.7659,76.03,72,74,11.83,GP,1649127600
474,Benguela,-12.5763,13.4055,74.68,85,95,5.23,AO,1649127600
475,Zaysan,47.4667,84.8667,51.42,48,2,2.55,KZ,1649127600
476,Eskil,38.4017,33.4131,53.96,48,100,11.83,TR,1649127600
477,Luwuk,-0.9516,122.7875,85.69,70,74,3.65,ID,1649127600
478,Kaeo,-35.1,173.7833,69.6,89,100,7.67,NZ,1649127600
479,Burnie,-41.0667,145.9167,62.37,64,100,6.49,AU,1649127600
480,Srandakan,-7.9386,110.2506,83.98,69,13,3.36,ID,1649127600
481,Esperance,-33.8667,121.9,66.04,62,60,12.86,AU,1649127600
482,Mirny,62.5353,113.9611,14.23,66,98,7.23,RU,1649127600
483,Taoudenni,22.6783,-3.9836,79.23,20,0,8.72,ML,1649127600
484,Kavaratti,10.5669,72.642,82.26,73,58,2.68,IN,1649127600
485,Pedersore,63.65,22.6833,23.32,83,100,17.16,FI,1649127600
486,Aleksin,54.51,37.08,28.83,88,24,9.17,RU,1649127600
487,Pangody,65.85,74.4859,33.01,100,100,7.2,RU,1649127600
488,Leningradskiy,69.3833,178.4167,-1.7,86,48,4.83,RU,1649127600
489,Hokitika,-42.7167,170.9667,60.01,87,100,4.79,NZ,1649127600
490,Pitimbu,-7.4706,-34.8086,78.17,77,27,8.59,BR,1649127600
491,Abhā,18.2164,42.5053,59.85,12,0,5.12,SA,1649127600
492,Monticello,45.3055,-93.7941,36.95,83,20,10.22,US,1649127600
493,Yangi Marg`ilon,40.4272,71.7189,66.45,47,0,2.53,UZ,1649127600
494,Kismayo,-0.3582,42.5454,79.47,83,43,8.9,SO,1649127600
495,Kriel,-26.2739,29.2253,50.72,95,0,3.29,ZA,1649127600
496,Varhaug,58.6147,5.6457,36.64,66,92,20.18,NO,1649127600
497,San Ramon,37.7799,-121.978,58.26,76,0,4.88,US,1649127600
498,Road Town,18.4167,-64.6167,78.73,73,40,14.99,VG,1649127600
499,Henties Bay,-22.116,14.2845,60.12,86,0,6.06,NA,1649127600
500,Mayo,38.8876,-76.5119,48.22,73,100,8.25,US,1649127600
501,Port-Cartier,50.0334,-66.8654,28.62,78,5,11.07,CA,1649127600
502,Luena,-11.7833,19.9167,62.4,94,77,3.56,AO,1649127600
503,Ust-Tsilma,65.441,52.1498,-1.79,100,100,3.02,RU,1649127600
504,Ekhabi,53.5102,142.9671,31.96,57,100,4.92,RU,1649127600
505,Ariquemes,-9.9133,-63.0408,72.68,97,99,1.54,BR,1649127600
506,Mergen,49.1833,125.2167,29.93,72,100,16.64,CN,1649127600
507,Oranjestad,12.524,-70.027,80.55,78,40,25.43,AW,1649127600
508,Santa Pola,38.1917,-0.5658,51.6,68,75,16.73,ES,1649127600
509,Champaign,40.1334,-88.2001,44.55,82,0,5.08,US,1649127600
510,Stolin,51.8912,26.846,32.94,73,100,18.3,BY,1649127600
511,Sokoni,-6.4333,39.55,82.17,75,17,4.52,TZ,1649127600
512,Haines Junction,60.7522,-137.5108,37.35,44,27,4.07,CA,1649127600
513,Rodino,52.5,80.25,43.95,75,78,11.32,RU,1649127600
514,Cortez,37.3489,-108.5859,54.28,29,0,6.55,US,1649127600
515,Gizo Government Station,-8.103,156.8419,84.61,73,97,14.03,SB,1649127600
516,Havelock,34.8791,-76.9013,55.26,67,0,5.82,US,1649127600
517,Ancud,-41.8697,-73.8203,57.22,97,100,12.59,CL,1649127600
518,Itacaré,-14.2775,-38.9967,74.79,87,11,3.42,BR,1649127600
519,Acaraú,-2.8856,-40.12,77.45,87,100,7.56,BR,1649127600
520,Kapuskasing,49.4169,-82.4331,35.6,64,75,4.45,CA,1649127600
521,São João da Barra,-21.6403,-41.0511,77.34,88,0,9.13,BR,1649127600
522,Yakeshi,49.2833,120.7333,22.87,49,5,21.68,CN,1649127600
523,Dingle,10.9995,122.6711,85.06,66,100,10.71,PH,1649127600
524,Nanortalik,60.1432,-45.2371,33.4,82,100,4.41,GL,1649127600
525,Quatre Cocos,-20.2078,57.7625,77.76,85,42,9.37,MU,1649127600
526,Sovetskiy,61.3614,63.5842,29.97,99,100,5.08,RU,1649127600
527,Kasempa,-13.4584,25.8338,62.89,87,92,2.15,ZM,1649127600
528,Pasni,25.2631,63.471,77.88,54,4,7.05,PK,1649127600
529,Hanyang,32.1371,105.5126,59.61,66,90,3.02,CN,1649127600
530,Vestmannaeyjar,63.4427,-20.2734,35.2,75,100,20.02,IS,1649127600
531,Alanya,36.5438,31.9998,65.41,41,93,5.79,TR,1649127600
532,Monrovia,6.3005,-10.7969,77.41,84,100,3.8,LR,1649127600
533,Solnechnyy,50.7214,136.6319,34.41,94,100,3.0,RU,1649127600
534,Sayán,-11.1361,-77.1933,71.94,73,99,2.15,PE,1649127600
535,Avera,33.194,-82.5271,60.28,57,53,3.69,US,1649127600
536,Roswell,34.0232,-84.3616,60.26,54,0,3.24,US,1649127600
537,Kainantu,-6.2887,145.8655,77.43,53,98,1.66,PG,1649127600
538,Birjand,32.8663,59.2211,69.22,15,0,7.85,IR,1649127600
539,Gainesville,29.6516,-82.3248,68.83,71,0,7.11,US,1649127600
540,Mahibadhoo,3.7833,72.9667,83.16,64,29,2.13,MV,1649127600
541,Harrisonville,38.6533,-94.3488,52.57,57,0,7.23,US,1649127600
542,Baoqing,46.3317,132.2111,59.31,39,92,22.44,CN,1649127600
543,Whitianga,-36.8333,175.7,69.55,73,100,7.56,NZ,1649127600
544,Olafsvik,64.8945,-23.7142,27.97,71,86,33.73,IS,1649127600
545,Boguchany,58.3814,97.4531,29.39,83,100,9.8,RU,1649127600
546,Panabá,21.2833,-88.2667,76.95,71,0,15.99,MX,1649127600
547,Kushima,31.4583,131.2333,67.06,42,19,4.36,JP,1649127600
548,Ürümqi,43.801,87.6005,60.94,33,0,3.38,CN,1649127600
549,Gravdal,68.1214,13.5031,28.08,63,45,5.19,NO,1649127600
550,Ponta Porã,-22.5361,-55.7256,67.73,94,61,5.59,BR,1649127600
551,Hīrna,9.2167,41.1,62.89,51,37,6.69,ET,1649127600
552,Comodoro Rivadavia,-45.8667,-67.5,62.46,42,0,28.16,AR,1649127600
553,Gilbués,-9.8317,-45.3439,75.49,52,48,2.93,BR,1649127600
554,Mariestad,58.7097,13.8237,30.47,91,74,15.88,SE,1649127600
555,Mwene-Ditu,-7.0,23.45,62.76,95,80,1.59,CD,1649127600
556,La Macarena,2.1837,-73.7849,72.09,98,90,0.56,CO,1649127600
557,Kangaatsiaq,68.3065,-53.4641,27.39,90,98,8.5,GL,1649127600
558,Mokhotlong,-29.2894,29.0675,45.12,83,0,3.67,LS,1649127600
559,Yulara,-25.2406,130.9889,91.51,12,5,7.05,AU,1649127600
560,Hohhot,40.8106,111.6522,57.49,15,0,4.32,CN,1649127600
561,San Rafael,-34.6177,-68.3301,60.84,32,0,8.1,AR,1649127600
562,Nishihara,26.1842,127.7558,69.51,53,75,8.75,JP,1649127600
563,Chichicastenango,14.9333,-91.1167,60.08,89,36,3.76,GT,1649127600
564,Yerbogachën,61.2767,108.0108,16.65,81,92,4.7,RU,1649127600
565,Yuci,37.6803,112.7319,67.32,25,0,4.72,CN,1649127600
566,Waipawa,-41.4122,175.5153,65.64,72,100,15.12,NZ,1649127600
567,Kochi,9.9399,76.2602,80.78,80,74,4.16,IN,1649127600
568,Sangar,63.9242,127.4739,10.24,91,100,10.94,RU,1649127600
569,Puerto Escondido,15.85,-97.0667,79.63,73,20,7.9,MX,1649127600
570,Mount Isa,-20.7333,139.5,93.2,9,6,12.3,AU,1649127600
571,Mbengwi,6.0167,10.0,69.35,68,99,1.92,CM,1649127600
572,Lima,-12.0432,-77.0282,74.89,68,0,8.05,PE,1649127600
